,Open Time,Open,High,Low,Close,Volume,Name,Haiking Average
33,2021-11-02 12:00:00,4412.86000000,4519.69000000,4408.92000000,4511.42000000,,4H4,4463.2225
34,2021-11-02 16:00:00,4511.43000000,4519.64000000,4473.45000000,4509.00000000,,4H3,4503.38
35,2021-11-02 20:00:00,4508.99000000,4599.60000000,4479.46000000,4589.89000000,,4H2,4544.485000000001
36,2021-11-03 00:00:00,4589.68000000,4639.98000000,4553.30000000,4588.75000000,,4H1,4592.9275
0,2021-10-31 00:00:00,4322.68000000,4393.64000000,4316.09000000,4383.24000000,,1H73,4353.9125
1,2021-10-31 01:00:00,4383.24000000,4399.14000000,4350.67000000,4362.96000000,,1H72,4374.0025000000005
2,2021-10-31 02:00:00,4362.95000000,4391.77000000,4353.23000000,4365.01000000,,1H71,4368.24
3,2021-10-31 03:00:00,4364.90000000,4379.99000000,4355.22000000,4370.49000000,,1H70,4367.65
4,2021-10-31 04:00:00,4370.49000000,4384.00000000,4359.68000000,4367.59000000,,1H69,4370.4400000000005
5,2021-10-31 05:00:00,4367.58000000,4374.89000000,4313.68000000,4329.20000000,,1H68,4346.3375
6,2021-10-31 06:00:00,4329.19000000,4335.02000000,4299.23000000,4319.17000000,,1H67,4320.6525
7,2021-10-31 07:00:00,4319.16000000,4332.83000000,4311.00000000,4318.16000000,,1H66,4320.2875
8,2021-10-31 08:00:00,4317.61000000,4320.00000000,4257.41000000,4272.47000000,,1H65,4291.8724999999995
9,2021-10-31 09:00:00,4272.46000000,4275.29000000,4240.58000000,4260.18000000,,1H64,4262.1275000000005
10,2021-10-31 10:00:00,4260.18000000,4281.23000000,4222.00000000,4251.00000000,,1H63,4253.6025
11,2021-10-31 11:00:00,4251.01000000,4266.76000000,4191.05000000,4207.48000000,,1H62,4229.075
12,2021-10-31 12:00:00,4207.71000000,4222.50000000,4164.35000000,4186.90000000,,1H61,4195.365
13,2021-10-31 13:00:00,4186.90000000,4219.00000000,4166.94000000,4204.68000000,,1H60,4194.38
14,2021-10-31 14:00:00,4204.68000000,4233.57000000,4182.56000000,4205.00000000,,1H59,4206.4525
15,2021-10-31 15:00:00,4204.99000000,4225.91000000,4193.83000000,4214.36000000,,1H58,4209.772499999999
16,2021-10-31 16:00:00,4214.35000000,4242.82000000,4191.68000000,4236.17000000,,1H57,4221.255
17,2021-10-31 17:00:00,4236.17000000,4258.63000000,4226.42000000,4239.98000000,,1H56,4240.299999999999
18,2021-10-31 18:00:00,4240.08000000,4254.84000000,4213.55000000,4249.75000000,,1H55,4239.555
19,2021-10-31 19:00:00,4249.76000000,4259.04000000,4242.30000000,4247.82000000,,1H54,4249.73
20,2021-10-31 20:00:00,4247.81000000,4271.17000000,4230.00000000,4265.11000000,,1H53,4253.5225
21,2021-10-31 21:00:00,4265.11000000,4329.46000000,4262.05000000,4306.45000000,,1H52,4290.7675
22,2021-10-31 22:00:00,4306.45000000,4317.92000000,4290.75000000,4293.00000000,,1H51,4302.030000000001
23,2021-10-31 23:00:00,4293.01000000,4302.19000000,4270.37000000,4287.21000000,,1H50,4288.195
24,2021-11-01 00:00:00,4287.48000000,4323.35000000,4276.79000000,4317.03000000,,1H49,4301.162499999999
25,2021-11-01 01:00:00,4317.03000000,4325.00000000,4293.12000000,4293.87000000,,1H48,4307.255
26,2021-11-01 02:00:00,4293.86000000,4306.91000000,4191.21000000,4236.12000000,,1H47,4257.025
27,2021-11-01 03:00:00,4236.14000000,4241.00000000,4175.00000000,4190.66000000,,1H46,4210.7
28,2021-11-01 04:00:00,4191.50000000,4243.03000000,4146.30000000,4226.92000000,,1H45,4201.9375
29,2021-11-01 05:00:00,4226.91000000,4252.58000000,4220.00000000,4225.00000000,,1H44,4231.1224999999995
30,2021-11-01 06:00:00,4225.00000000,4259.14000000,4198.55000000,4241.99000000,,1H43,4231.17
31,2021-11-01 07:00:00,4241.99000000,4320.00000000,4241.46000000,4302.93000000,,1H42,4276.595
32,2021-11-01 08:00:00,4302.94000000,4338.07000000,4294.52000000,4311.11000000,,1H41,4311.66
33,2021-11-01 09:00:00,4311.11000000,4344.41000000,4310.64000000,4316.56000000,,1H40,4320.68
34,2021-11-01 10:00:00,4316.55000000,4335.00000000,4313.86000000,4328.94000000,,1H39,4323.5875
35,2021-11-01 11:00:00,4328.94000000,4354.33000000,4303.48000000,4315.00000000,,1H38,4325.4375
36,2021-11-01 12:00:00,4315.00000000,4373.30000000,4314.99000000,4345.58000000,,1H37,4337.217500000001
37,2021-11-01 13:00:00,4345.58000000,4377.00000000,4336.00000000,4375.33000000,,1H36,4358.4775
38,2021-11-01 14:00:00,4375.51000000,4386.58000000,4308.25000000,4329.78000000,,1H35,4350.030000000001
39,2021-11-01 15:00:00,4329.78000000,4353.10000000,4325.85000000,4349.98000000,,1H34,4339.6775
40,2021-11-01 16:00:00,4349.97000000,4354.65000000,4288.32000000,4296.04000000,,1H33,4322.245
41,2021-11-01 17:00:00,4296.04000000,4303.02000000,4269.69000000,4283.72000000,,1H32,4288.1175
42,2021-11-01 18:00:00,4283.73000000,4304.37000000,4264.63000000,4295.92000000,,1H31,4287.1625
43,2021-11-01 19:00:00,4295.92000000,4366.00000000,4279.36000000,4364.28000000,,1H30,4326.39
44,2021-11-01 20:00:00,4364.28000000,4365.78000000,4300.00000000,4310.18000000,,1H29,4335.0599999999995
45,2021-11-01 21:00:00,4310.48000000,4310.99000000,4278.07000000,4295.81000000,,1H28,4298.8375
46,2021-11-01 22:00:00,4295.82000000,4338.00000000,4292.24000000,4305.93000000,,1H27,4307.9974999999995
47,2021-11-01 23:00:00,4305.92000000,4334.54000000,4304.39000000,4319.43000000,,1H26,4316.07
48,2021-11-02 00:00:00,4319.43000000,4349.89000000,4284.43000000,4311.07000000,,1H25,4316.205
49,2021-11-02 01:00:00,4310.93000000,4342.19000000,4297.96000000,4320.92000000,,1H24,4318.0
50,2021-11-02 02:00:00,4320.63000000,4330.34000000,4301.54000000,4307.51000000,,1H23,4315.005
51,2021-11-02 03:00:00,4307.51000000,4322.00000000,4298.51000000,4318.83000000,,1H22,4311.7125
52,2021-11-02 04:00:00,4318.82000000,4371.89000000,4315.37000000,4362.69000000,,1H21,4342.192499999999
53,2021-11-02 05:00:00,4362.69000000,4371.04000000,4338.64000000,4365.10000000,,1H20,4359.3675
54,2021-11-02 06:00:00,4365.09000000,4387.81000000,4349.24000000,4376.00000000,,1H19,4369.535
55,2021-11-02 07:00:00,4376.00000000,4379.69000000,4337.28000000,4340.81000000,,1H18,4358.445
56,2021-11-02 08:00:00,4340.82000000,4364.75000000,4330.02000000,4350.06000000,,1H17,4346.4125
57,2021-11-02 09:00:00,4350.09000000,4438.40000000,4340.01000000,4425.55000000,,1H16,4388.5125
58,2021-11-02 10:00:00,4425.54000000,4477.46000000,4423.92000000,4442.72000000,,1H15,4442.41
59,2021-11-02 11:00:00,4442.72000000,4452.75000000,4411.42000000,4413.09000000,,1H14,4429.995000000001
60,2021-11-02 12:00:00,4412.86000000,4447.15000000,4408.92000000,4435.79000000,,1H13,4426.18
61,2021-11-02 13:00:00,4435.79000000,4488.88000000,4435.78000000,4488.38000000,,1H12,4462.2074999999995
62,2021-11-02 14:00:00,4488.38000000,4491.75000000,4454.49000000,4467.72000000,,1H11,4475.585
63,2021-11-02 15:00:00,4467.72000000,4519.69000000,4467.47000000,4511.42000000,,1H10,4491.575
64,2021-11-02 16:00:00,4511.43000000,4517.99000000,4479.82000000,4499.66000000,,1H9,4502.225
65,2021-11-02 17:00:00,4499.66000000,4503.18000000,4473.45000000,4475.57000000,,1H8,4487.965
66,2021-11-02 18:00:00,4475.56000000,4504.98000000,4473.54000000,4496.88000000,,1H7,4487.74
67,2021-11-02 19:00:00,4496.88000000,4519.64000000,4491.04000000,4509.00000000,,1H6,4504.14
68,2021-11-02 20:00:00,4508.99000000,4528.51000000,4489.59000000,4499.63000000,,1H5,4506.68
69,2021-11-02 21:00:00,4499.44000000,4528.00000000,4479.46000000,4527.04000000,,1H4,4508.485
70,2021-11-02 22:00:00,4527.04000000,4556.75000000,4516.69000000,4544.33000000,,1H3,4536.202499999999
71,2021-11-02 23:00:00,4544.33000000,4599.60000000,4541.62000000,4589.89000000,,1H2,4568.860000000001
72,2021-11-03 00:00:00,4589.68000000,4636.99000000,4553.30000000,4632.35000000,,1H1,4603.08
0,2021-11-02 00:00:00,4319.43000000,4344.75000000,4306.82000000,4343.12000000,,15M97,4328.53
1,2021-11-02 00:15:00,4343.11000000,4349.89000000,4335.21000000,4340.70000000,,15M96,4342.2275
2,2021-11-02 00:30:00,4340.71000000,4341.14000000,4285.21000000,4285.21000000,,15M95,4313.0675
3,2021-11-02 00:45:00,4285.22000000,4311.17000000,4284.43000000,4311.07000000,,15M94,4297.9725
4,2021-11-02 01:00:00,4310.93000000,4319.02000000,4297.96000000,4317.05000000,,15M93,4311.24
5,2021-11-02 01:15:00,4317.06000000,4342.19000000,4312.38000000,4329.64000000,,15M92,4325.3175
6,2021-11-02 01:30:00,4329.65000000,4331.82000000,4313.44000000,4313.80000000,,15M91,4322.1775
7,2021-11-02 01:45:00,4313.79000000,4326.46000000,4308.84000000,4320.92000000,,15M90,4317.5025
8,2021-11-02 02:00:00,4320.63000000,4330.34000000,4313.64000000,4314.79000000,,15M89,4319.85
9,2021-11-02 02:15:00,4314.78000000,4325.14000000,4310.12000000,4317.48000000,,15M88,4316.879999999999
10,2021-11-02 02:30:00,4317.48000000,4317.71000000,4305.03000000,4307.55000000,,15M87,4311.942499999999
11,2021-11-02 02:45:00,4307.54000000,4310.49000000,4301.54000000,4307.51000000,,15M86,4306.7699999999995
12,2021-11-02 03:00:00,4307.51000000,4313.77000000,4298.51000000,4310.68000000,,15M85,4307.6175
13,2021-11-02 03:15:00,4310.69000000,4313.00000000,4302.93000000,4308.34000000,,15M84,4308.74
14,2021-11-02 03:30:00,4308.27000000,4316.43000000,4305.88000000,4314.80000000,,15M83,4311.345
15,2021-11-02 03:45:00,4314.81000000,4322.00000000,4313.79000000,4318.83000000,,15M82,4317.3575
16,2021-11-02 04:00:00,4318.82000000,4328.80000000,4315.37000000,4327.35000000,,15M81,4322.585
17,2021-11-02 04:15:00,4327.35000000,4346.98000000,4325.17000000,4339.87000000,,15M80,4334.842500000001
18,2021-11-02 04:30:00,4339.86000000,4363.49000000,4339.86000000,4352.00000000,,15M79,4348.8025
19,2021-11-02 04:45:00,4352.00000000,4371.89000000,4344.55000000,4362.69000000,,15M78,4357.782499999999
20,2021-11-02 05:00:00,4362.69000000,4367.25000000,4342.87000000,4343.86000000,,15M77,4354.1675
21,2021-11-02 05:15:00,4343.53000000,4349.84000000,4338.64000000,4345.16000000,,15M76,4344.2925
22,2021-11-02 05:30:00,4345.16000000,4365.96000000,4345.00000000,4362.45000000,,15M75,4354.6425
23,2021-11-02 05:45:00,4362.44000000,4371.04000000,4356.32000000,4365.10000000,,15M74,4363.725
24,2021-11-02 06:00:00,4365.09000000,4373.00000000,4349.24000000,4351.94000000,,15M73,4359.817499999999
25,2021-11-02 06:15:00,4351.94000000,4368.70000000,4349.59000000,4360.48000000,,15M72,4357.6775
26,2021-11-02 06:30:00,4360.47000000,4387.81000000,4356.30000000,4367.23000000,,15M71,4367.9525
27,2021-11-02 06:45:00,4367.05000000,4376.73000000,4363.22000000,4376.00000000,,15M70,4370.75
28,2021-11-02 07:00:00,4376.00000000,4379.69000000,4358.28000000,4361.57000000,,15M69,4368.884999999999
29,2021-11-02 07:15:00,4361.57000000,4367.90000000,4351.36000000,4355.56000000,,15M68,4359.0975
30,2021-11-02 07:30:00,4355.57000000,4360.28000000,4350.90000000,4357.29000000,,15M67,4356.01
31,2021-11-02 07:45:00,4357.28000000,4357.69000000,4337.28000000,4340.81000000,,15M66,4348.264999999999
32,2021-11-02 08:00:00,4340.82000000,4351.14000000,4330.02000000,4342.18000000,,15M65,4341.04
33,2021-11-02 08:15:00,4342.17000000,4354.62000000,4341.32000000,4345.37000000,,15M64,4345.87
34,2021-11-02 08:30:00,4345.37000000,4352.34000000,4344.44000000,4347.69000000,,15M63,4347.46
35,2021-11-02 08:45:00,4347.70000000,4364.75000000,4347.36000000,4350.06000000,,15M62,4352.4675
36,2021-11-02 09:00:00,4350.09000000,4350.58000000,4341.13000000,4341.55000000,,15M61,4345.8375
37,2021-11-02 09:15:00,4341.54000000,4365.30000000,4340.01000000,4361.63000000,,15M60,4352.120000000001
38,2021-11-02 09:30:00,4361.62000000,4407.00000000,4356.30000000,4396.00000000,,15M59,4380.23
39,2021-11-02 09:45:00,4395.99000000,4438.40000000,4395.49000000,4425.55000000,,15M58,4413.8575
40,2021-11-02 10:00:00,4425.54000000,4448.00000000,4423.92000000,4445.08000000,,15M57,4435.635
41,2021-11-02 10:15:00,4445.08000000,4476.17000000,4433.64000000,4470.00000000,,15M56,4456.2225
42,2021-11-02 10:30:00,4470.00000000,4477.46000000,4440.00000000,4445.90000000,,15M55,4458.34
43,2021-11-02 10:45:00,4445.74000000,4453.02000000,4436.67000000,4442.72000000,,15M54,4444.5375
44,2021-11-02 11:00:00,4442.72000000,4450.94000000,4436.52000000,4450.94000000,,15M53,4445.28
45,2021-11-02 11:15:00,4450.94000000,4452.21000000,4440.76000000,4446.56000000,,15M52,4447.6175
46,2021-11-02 11:30:00,4446.55000000,4452.75000000,4439.32000000,4441.44000000,,15M51,4445.014999999999
47,2021-11-02 11:45:00,4441.43000000,4441.72000000,4411.42000000,4413.09000000,,15M50,4426.915000000001
48,2021-11-02 12:00:00,4412.86000000,4446.58000000,4412.86000000,4439.46000000,,15M49,4427.94
49,2021-11-02 12:15:00,4439.45000000,4446.98000000,4408.92000000,4433.96000000,,15M48,4432.327499999999
50,2021-11-02 12:30:00,4433.96000000,4440.84000000,4431.52000000,4435.36000000,,15M47,4435.42
51,2021-11-02 12:45:00,4435.35000000,4447.15000000,4429.05000000,4435.79000000,,15M46,4436.835
52,2021-11-02 13:00:00,4435.79000000,4456.18000000,4435.78000000,4455.52000000,,15M45,4445.8175
53,2021-11-02 13:15:00,4455.51000000,4472.00000000,4454.32000000,4463.83000000,,15M44,4461.415
54,2021-11-02 13:30:00,4463.84000000,4470.00000000,4453.46000000,4468.93000000,,15M43,4464.0575
55,2021-11-02 13:45:00,4468.93000000,4488.88000000,4459.77000000,4488.38000000,,15M42,4476.490000000001
56,2021-11-02 14:00:00,4488.38000000,4491.75000000,4463.16000000,4465.61000000,,15M41,4477.225
57,2021-11-02 14:15:00,4465.61000000,4480.00000000,4454.49000000,4474.26000000,,15M40,4468.59
58,2021-11-02 14:30:00,4474.26000000,4481.50000000,4468.15000000,4472.66000000,,15M39,4474.1425
59,2021-11-02 14:45:00,4472.67000000,4477.24000000,4462.24000000,4467.72000000,,15M38,4469.9675
60,2021-11-02 15:00:00,4467.72000000,4495.00000000,4467.47000000,4487.30000000,,15M37,4479.3725
61,2021-11-02 15:15:00,4487.29000000,4499.99000000,4484.35000000,4495.78000000,,15M36,4491.8525
62,2021-11-02 15:30:00,4495.77000000,4514.56000000,4483.23000000,4507.54000000,,15M35,4500.275000000001
63,2021-11-02 15:45:00,4507.54000000,4519.69000000,4502.35000000,4511.42000000,,15M34,4510.25
64,2021-11-02 16:00:00,4511.43000000,4517.99000000,4487.56000000,4488.30000000,,15M33,4501.32
65,2021-11-02 16:15:00,4487.85000000,4500.00000000,4479.82000000,4496.61000000,,15M32,4491.07
66,2021-11-02 16:30:00,4496.61000000,4500.00000000,4488.20000000,4499.99000000,,15M31,4496.2
67,2021-11-02 16:45:00,4500.00000000,4511.00000000,4497.25000000,4499.66000000,,15M30,4501.9775
68,2021-11-02 17:00:00,4499.66000000,4503.18000000,4490.89000000,4496.54000000,,15M29,4497.5675
69,2021-11-02 17:15:00,4496.54000000,4499.54000000,4483.42000000,4489.57000000,,15M28,4492.2675
70,2021-11-02 17:30:00,4489.56000000,4489.57000000,4476.94000000,4484.20000000,,15M27,4485.0675
71,2021-11-02 17:45:00,4484.21000000,4486.01000000,4473.45000000,4475.57000000,,15M26,4479.8099999999995
72,2021-11-02 18:00:00,4475.56000000,4485.29000000,4473.54000000,4481.59000000,,15M25,4478.995000000001
73,2021-11-02 18:15:00,4481.73000000,4500.00000000,4476.66000000,4499.38000000,,15M24,4489.4425
74,2021-11-02 18:30:00,4499.39000000,4504.98000000,4490.90000000,4492.72000000,,15M23,4496.9974999999995
